	mhe_zhang	hiv_noguerajulian	hiv_lozupone	t1d_alkanani	edd_singh	crc_chen	asd_son	cdi_youngster	crc_zeller	ra_scher	ibd_papa	hiv_dinh	ob_zhu	crc_baxter	ob_turnbaugh	crc_zackular	cdi_schubert	par_scheperjans	crc_wang	ibd_willing	ibd_morgan	ibd_gevers	ob_zupancic	nash_zhu	cdi_vincent	ob_ross	t1d_mejialeon	ob_goodrich	asd_kang	nash_wong
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.671012211295	0.0058478413564	-0.0156450419792	-0.531528537207	-0.140684560964	-0.476738937614	0.901020228435	-0.11053008459	0.230601312872	-0.535184831511	-0.466928619673	-0.725782053794	0.818454634098	-0.532523663572	-0.333419578161	-0.78200289075	-5.46048817892e-05	0.839118009089	-0.0237735428996	-0.923058363697	0.253084013957	0.801636895991	-0.932148346508	0.771388660856	-0.0810347624915	0.902818268301	0.267498091314	0.552110346105	-0.915134359554	-0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_incertae_sedis;g__Phocaeicola	0.637587428596								-0.602200705651																			-0.973047367516		
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae;g__Anaerophaga									0.71173763116					0.532523663572		0.78200289075												-0.834285323221		
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella	0.637587428596	-0.987756634382	0.272575053686	-0.633234365857	-1.0543477728e-09		0.749570310038	-0.453941478714	0.470033603732	0.703182099323	-0.646495672998	0.964774822857	-0.0535056162246	-0.532523663572	-0.000239251477215	-1.0	-2.54038178304e-06	0.740556500464		0.674451879986	0.283640999332	-0.627892045397		-0.0222381012421	-0.160923959678	-0.917992242141	-0.586524530627	0.378395046787	0.713415282118	0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Butyricimonas		-0.669164303281	-0.90743350935	-0.633234365857	-2.6137507003e-06		-0.861614211077	-0.116248071347	0.0318777446151	-0.543625727549	0.71609505605	-0.56245768861	0.750946114173	-0.692473761234	0.829994431438	-0.78200289075	-0.000886232881682	1.0	-0.339579931298	-0.074027969632	0.570611465235	-0.627892045397	0.717184851256	0.307505574741	0.409873874697	-0.784888756169	-0.884835097535	-0.139007561766		-0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas								0.731941613375									0.00028889998793													
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	0.940191738101	0.137779779153	-0.0438061116313	-0.921550466127	-0.000135491701321	0.813532381146	-0.901020228435	-0.665516316746	0.241468855397	-0.543625727549	-0.0163772631661	0.984865382485	-0.125452290267	0.82776880828	-0.138555945889	-0.78200289075	-2.36069162074e-07	1.0	-0.17153318114	-0.674451879986	0.349286319901	-0.644039631745	-0.967348487294	0.809566702519	-0.0264299073294	-0.897173911806	0.489786421629	-0.574489952781	-0.201685094437	-0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.575232004346	0.0619645615553	-0.10348045062	0.883752108534	-2.46311536266e-11	0.954176488923	0.901020228435	-0.116248071347	0.14128525275	-0.535184831511	-0.00220444995001	1.0	0.87319303906	-0.837107450407	-0.0754357889487	-1.0	0.0207234157211	0.539141630582	0.993290877422	0.743403130977	0.544421651903	-0.528314599467	0.967348487294	-0.586743231694	-0.00574926807884	0.897173911806	0.767503892956	-0.973047367516	0.394415710678	0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas		0.88055190979	0.905339734043	0.531528537207	0.112598474599	0.830185524604		0.0	0.0134584389692				0.0280047640653	4.92487594419e-08		0.78200289075	0.852621664905		0.0262042612562			0.352402720134		0.00319090379869	-0.15498214387			0.665096380719		
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella					0.259081147514											0.78200289075														
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	-0.481115104932	-0.291022439473	0.0017806035917	-0.531528537207	0.928085205863	-0.660483227104	0.749570310038	-0.453941478714	0.804128767017	0.795242911437		-0.984865382485	0.312906261846	0.0497659914155	-0.974994960107	0.938553671292		0.912263019086		-0.923058363697	-0.665207576943	0.759879902388		0.497753058025		0.784888756169		0.973047367516		0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Hallella		-0.0102892718359	0.00673923792398	0.540721720883					-0.842441024865		0.893340353003		0.17198783468	0.667520696721		-0.817272192238						0.790962772758		0.025213417692		0.667152967175		-0.932548265727		-0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0.856767015757	0.901619901362	0.0590076156605	-0.567237279847	-0.00390079628984	0.543223301251	-0.901020228435	0.731941613375	0.640553365761	0.554227961033	-0.466928619673	0.984865382485	-0.87319303906	-0.82776880828	0.135056709516	0.817272192238	-0.715228826862	-0.326346203693		-0.674451879986	0.901947328639	0.959895732021	-0.452719984419	-0.771388660856	0.47026902869	0.897173911806	-0.368958062955	-0.347439184797	-0.219268171507	0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	-0.411784120565	-0.0224679582572	0.0121234081549	0.131358507581	-0.544808016004	-0.813532381146	-0.901020228435	-0.731941613375	-0.842441024865	0.306503410881	0.582851661061	0.984865382485	0.00958167675208	0.467668297802	0.634613668199	0.78200289075	-0.0330646374674	-0.0610749277657	-0.704577612094	-0.674451879986	0.618639759543	-0.790962772758	0.967348487294	0.00691204993849	-0.0479711923554	0.897173911806	-0.0666010036986	0.696866432759	-0.201685094437	0.861167601296
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Xylanibacter	-0.481115104932	-0.160611699663				0.961488989035				0.703182099323		-0.888781728313					-0.0149238790407						-0.967348487294			0.784888756169	-0.133774501633			
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.888105159232	0.0201831920681	-0.00583607264554	-0.131358507581	-2.0366471643e-18	0.813532381146	0.749570310038	-0.0691956386582	0.23667564088	-0.725242222729	-1.20486702131e-05	-0.56245768861	-0.138185102468	0.830593552919	-0.000239251477215	-0.938553671292	-8.85708197959e-09	0.0239117735867	-0.106651267384	-0.263939467829	-0.640783388628	-0.395370509293	-0.967348487294	-0.0226288590128	0.15498214387	-0.784888756169	0.434040203339	-0.139007561766		-0.533015049071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella																0.0														
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium									-0.959496282794																					
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cloacibacterium									0.314386161659													-0.199144959877								
