Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira,NA,1.78256E-05,0.000462957,Lean,0.4063,0.03923929,(0?0.33),0.165447185,(0?0.28),0.795313524,(0.67?0.9),0.218442214,0.178876652,0.079131125,,,
TwinsUK,OTU,189924,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,2.05953E-05,0.000520031,Lean,0.005,0.190853539,(0.01?0.31),1.81E-16,(0?0),0.809146461,(0.69?0.94),0.26575736,-0.020685408,0.572885535,,,
TwinsUK,OTU,174911,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,2.47006E-05,0.000606833,Lean,0.1948,0.169603163,(0?0.37),0.071257347,(0?0.27),0.75913949,(0.63?0.89),0.246378252,0.15647196,0.179812584,,,
TwinsUK,OTU,199279,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,2.72164E-05,0.000651045,Obese,0.5209,8.16E-11,(0?0.23),0.088382228,(0?0.18),0.911617772,(0.77?1),0.088564944,0.090133513,-0.003137139,,,
TwinsUK,OTU,194488,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,3.03627E-05,0.000707684,Lean,0.8384,3.10E-14,(0?0),0.083251471,(0?0.18),0.916748529,(0.78?1),0.080082099,0.087295883,-0.014427568,,,
TwinsUK,OTU,3973322,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,3.22082E-05,0.000718575,Lean,0.0084,0.189905496,(0?0.31),7.40E-11,(0?0),0.810094504,(0.69?0.94),0.245942246,0.013146447,0.465591599,,,
TwinsUK,OTU,173996,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,3.2411E-05,0.000718575,Obese,0.2227,0.079014932,(0?0.21),1.17E-25,(0?0.14),0.920985068,(0.79?1),0.097699484,0.01916471,0.157069549,,,
TwinsUK,OTU,4398588,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,3.33787E-05,0.00072241,Lean,0.0058,0.207820188,(0?0.33),5.43E-17,(0?0.15),0.792179812,(0.67?0.92),0.249171376,0.035370474,0.427601805,,,
TwinsUK,OTU,287790,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,3.97059E-05,0.000839364,Lean,0.0137,0.286319538,(0.16?0.4),2.23E-12,(0?0),0.713680462,(0.6?0.84),0.31349242,0.098326824,0.430331191,,,
TwinsUK,OTU,146564,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,4.55818E-05,0.00093079,Lean,0.2989,0.100326862,(0?0.25),0.01637323,(0?0.18),0.883299908,(0.75?1),0.113788065,0.070644905,0.086286319,,,
TwinsUK,OTU,2740950,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,4.60787E-05,0.00093079,Lean,0.3777,0.054990562,(0?0.19),0.002409331,(0?0.14),0.942600108,(0.81?1),0.058551817,0.031719453,0.053664729,,,
TwinsUK,OTU,4468466,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,4.77475E-05,0.000942733,Lean,0.0067,0.344160238,(0.16?0.45),2.85E-13,(0?0.13),0.655839762,(0.55?0.77),0.416266751,0.068267954,0.695997593,,,
TwinsUK,OTU,194297,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,4.87442E-05,0.000942733,Lean,0.0494,0.130671759,(0?0.25),4.07E-14,(0?0),0.869328241,(0.75?1),0.178980364,0.002148076,0.353664575,,,
